Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1972-08-25 00:00:00-04:00,0.011462595778801536,0.01168308193042333,0.011462595778801536,0.011638659983873367,7526400,0.0,0.0
1972-08-28 00:00:00-04:00,0.011638662751723221,0.011726965808467684,0.011594781652092934,0.011594781652092934,2918400,0.0,0.0
1972-08-29 00:00:00-04:00,0.011550900222944036,0.011550900222944036,0.011462597176432608,0.01146259717643261,5836800,0.0,0.0
1972-08-30 00:00:00-04:00,0.011462597176432608,0.011462597176432608,0.011374294129921182,0.01146259717643261,1228800,0.0,0.0
1972-08-31 00:00:00-04:00,0.011374299150028183,0.011374299150028183,0.011285996064543724,0.011285996064543724,2611200,0.0,0.0
1972-09-01 00:00:00-04:00,0.011330420154982698,0.01137430127710104,0.011330420154982698,0.01137430127710104,768000,0.0,0.0
1972-09-05 00:00:00-04:00,0.011374299150028183,0.011374299150028183,0.011285996064543724,0.011285996064543724,1689600,0.0,0.0
1972-09-06 00:00:00-04:00,0.01137430127710104,0.01137430127710104,0.01137430127710104,0.01137430127710104,768000,0.0,0.0
1972-09-07 00:00:00-04:00,0.0113742984686688,0.0113742984686688,0.01133041735738516,0.011330417357385159,3532800,0.0,0.0
1972-09-08 00:00:00-04:00,0.011285996052661637,0.011285996052661637,0.011242114938795567,0.011242114938795567,1996800,0.0,0.0
1972-09-11 00:00:00-04:00,0.01133041735738516,0.01133041735738516,0.01133041735738516,0.011330417357385159,2764800,0.0,0.0
1972-09-12 00:00:00-04:00,0.01133041735738516,0.01133041735738516,0.01133041735738516,0.011330417357385159,1843200,0.0,0.0
1972-09-13 00:00:00-04:00,0.01133041735738516,0.01133041735738516,0.01133041735738516,0.011330417357385159,460800,0.0,0.0
1972-09-14 00:00:00-04:00,0.011330418387398825,0.011418179608881472,0.011285996414449398,0.011418179608881474,3840000,0.0,0.0
1972-09-15 00:00:00-04:00,0.0113742984686688,0.0113742984686688,0.01133041735738516,0.011330417357385159,1536000,0.0,0.0
1972-09-18 00:00:00-04:00,0.01137430127710104,0.011418181390156395,0.01137430127710104,0.01137430127710104,3225600,0.0,0.0
1972-09-19 00:00:00-04:00,0.011330418036115914,0.011330418036115914,0.011242114950631455,0.011285996064543724,9369600,0.0,0.0
1972-09-20 00:00:00-04:00,0.011198243126273155,0.011198243126273155,0.011198243126273155,0.011198243126273155,153600,0.0,0.0
1972-09-21 00:00:00-04:00,0.011109931693933815,0.011109931693933815,0.010845564305782318,0.010845564305782318,4300800,0.0,0.0
